date,territory_id,category,value,salary,consumption_percent
2024-01-01,1954,Продовольствие,15892,96625.0,16.45
2024-01-01,1954,Здоровье,1495,96625.0,1.55
2024-01-01,1954,Маркетплейсы,2251,96625.0,2.33
2024-01-01,1954,Общественное питание,250,96625.0,0.26
2024-01-01,1954,Транспорт,1549,96625.0,1.6
2024-01-01,1954,Все категории,30015,96625.0,31.06
2024-01-01,1955,Продовольствие,17715,108286.4,16.36
2024-01-01,1955,Здоровье,1329,108286.4,1.23
2024-01-01,1955,Маркетплейсы,2219,108286.4,2.05
2024-01-01,1955,Общественное питание,1490,108286.4,1.38
2024-01-01,1955,Транспорт,3008,108286.4,2.78
2024-01-01,1955,Все категории,36908,108286.4,34.08
2024-01-01,1956,Продовольствие,13527,106257.6,12.73
2024-01-01,1956,Здоровье,894,106257.6,0.84
2024-01-01,1956,Маркетплейсы,1853,106257.6,1.74
2024-01-01,1956,Общественное питание,591,106257.6,0.56
2024-01-01,1956,Транспорт,1194,106257.6,1.12
2024-01-01,1956,Все категории,25627,106257.6,24.12
2024-01-01,1957,Продовольствие,15888,128090.6,12.4
2024-01-01,1957,Здоровье,1444,128090.6,1.13
2024-01-01,1957,Маркетплейсы,2174,128090.6,1.7
2024-01-01,1957,Общественное питание,1528,128090.6,1.19
2024-01-01,1957,Транспорт,2051,128090.6,1.6
2024-01-01,1957,Все категории,34123,128090.6,26.64
2024-01-01,1959,Продовольствие,14635,95628.8,15.3
2024-01-01,1959,Здоровье,1113,95628.8,1.16
2024-01-01,1959,Маркетплейсы,958,95628.8,1.0
2024-01-01,1959,Общественное питание,502,95628.8,0.52
2024-01-01,1959,Транспорт,1850,95628.8,1.93
2024-01-01,1959,Все категории,28224,95628.8,29.51
2024-01-01,1960,Продовольствие,14183,108694.7,13.05
2024-01-01,1960,Здоровье,1189,108694.7,1.09
2024-01-01,1960,Маркетплейсы,2224,108694.7,2.05
2024-01-01,1960,Общественное питание,374,108694.7,0.34
2024-01-01,1960,Транспорт,1522,108694.7,1.4
2024-01-01,1960,Все категории,27883,108694.7,25.65
2024-01-01,1961,Продовольствие,16752,192734.4,8.69
2024-01-01,1961,Здоровье,1546,192734.4,0.8
2024-01-01,1961,Маркетплейсы,3433,192734.4,1.78
2024-01-01,1961,Общественное питание,2113,192734.4,1.1
2024-01-01,1961,Транспорт,2528,192734.4,1.31
2024-01-01,1961,Все категории,38495,192734.4,19.97
2024-01-01,1962,Продовольствие,17767,126841.9,14.01
2024-01-01,1962,Здоровье,1527,126841.9,1.2
2024-01-01,1962,Маркетплейсы,3152,126841.9,2.48
2024-01-01,1962,Общественное питание,1489,126841.9,1.17
2024-01-01,1962,Транспорт,2152,126841.9,1.7
2024-01-01,1962,Все категории,38600,126841.9,30.43
2024-01-01,1963,Продовольствие,14419,93411.3,15.44
2024-01-01,1963,Здоровье,1038,93411.3,1.11
2024-01-01,1963,Маркетплейсы,1881,93411.3,2.01
2024-01-01,1963,Общественное питание,789,93411.3,0.84
2024-01-01,1963,Транспорт,1650,93411.3,1.77
2024-01-01,1963,Все категории,27768,93411.3,29.73
2024-01-01,1965,Продовольствие,14901,94562.8,15.76
2024-01-01,1965,Здоровье,835,94562.8,0.88
2024-01-01,1965,Маркетплейсы,1815,94562.8,1.92
2024-01-01,1965,Общественное питание,382,94562.8,0.4
2024-01-01,1965,Транспорт,1735,94562.8,1.83
2024-01-01,1965,Все категории,26938,94562.8,28.49
2024-01-01,1966,Продовольствие,15969,102967.7,15.51
2024-01-01,1966,Здоровье,864,102967.7,0.84
2024-01-01,1966,Маркетплейсы,967,102967.7,0.94
2024-01-01,1966,Общественное питание,429,102967.7,0.42
2024-01-01,1966,Транспорт,1324,102967.7,1.29
2024-01-01,1966,Все категории,25442,102967.7,24.71
2024-01-01,1967,Продовольствие,15259,101926.2,14.97
2024-01-01,1967,Здоровье,1293,101926.2,1.27
2024-01-01,1967,Маркетплейсы,2115,101926.2,2.08
2024-01-01,1967,Общественное питание,477,101926.2,0.47
2024-01-01,1967,Транспорт,2314,101926.2,2.27
2024-01-01,1967,Все категории,30724,101926.2,30.14
2024-01-01,1968,Продовольствие,17030,147821.8,11.52
2024-01-01,1968,Здоровье,1433,147821.8,0.97
2024-01-01,1968,Маркетплейсы,2404,147821.8,1.63
2024-01-01,1968,Общественное питание,1285,147821.8,0.87
2024-01-01,1968,Транспорт,1648,147821.8,1.11
2024-01-01,1968,Все категории,34465,147821.8,23.32
2024-01-01,1969,Продовольствие,13777,108750.4,12.67
2024-01-01,1969,Здоровье,1122,108750.4,1.03
2024-01-01,1969,Маркетплейсы,1931,108750.4,1.78
2024-01-01,1969,Общественное питание,747,108750.4,0.69
2024-01-01,1969,Транспорт,1412,108750.4,1.3
2024-01-01,1969,Все категории,28189,108750.4,25.92
2024-02-01,1954,Продовольствие,17800,96625.0,18.42
2024-02-01,1954,Здоровье,1550,96625.0,1.6
2024-02-01,1954,Маркетплейсы,3014,96625.0,3.12
2024-02-01,1954,Общественное питание,251,96625.0,0.26
